strategy,thres_schema,thres_item_final,rep,mean_AC,mean_RT,mean_performance
payoff_oriented,20,12.5,4,0.2777777777777778,22.075222222222205,27.555555555555557
payoff_oriented,20,12.5,5,0.3026315789473684,18.43002631578946,28.894736842105264
payoff_oriented,20,12.5,6,0.3472222222222222,21.887138888888895,27.833333333333332
payoff_oriented,20,12.5,7,0.2777777777777778,21.90916666666665,26.944444444444443
payoff_oriented,20,12.5,8,0.19736842105263153,17.625789473684197,21.789473684210527
payoff_oriented,20,12.5,9,0.3055555555555556,26.41638888888939,24.75
payoff_oriented,20,12.5,10,0.29166666666666663,21.492333333333317,27.11111111111111
payoff_oriented,20,15,1,0.3055555555555556,23.827277777777837,25.916666666666664
payoff_oriented,20,15,2,0.18055555555555552,22.79197222222221,20.77777777777778
payoff_oriented,20,15,3,0.2777777777777778,21.492333333333317,25.055555555555557
payoff_oriented,20,15,4,0.29166666666666663,22.054888888888872,23.5
payoff_oriented,20,15,5,0.3611111111111111,22.41241666666665,28.77777777777778
payoff_oriented,20,15,6,0.33333333333333337,23.240999999999982,27.055555555555557
payoff_oriented,20,15,7,0.47222222222222215,23.581583333333317,31.833333333333336
payoff_oriented,20,15,8,0.26388888888888895,22.822472222222206,25.777777777777782
payoff_oriented,20,15,9,0.20833333333333334,21.80072222222228,23.27777777777778
payoff_oriented,20,15,10,0.20833333333333326,21.89730555555554,22.583333333333336
payoff_oriented,25,10,1,0.3611111111111111,23.013944444444427,27.444444444444443
payoff_oriented,25,10,2,0.41666666666666663,25.50138888888895,30
payoff_oriented,25,10,3,0.5416666666666666,21.046694444444427,36.666666666666664
payoff_oriented,25,10,4,0.18421052631578946,22.61173684210547,21.57894736842105
payoff_oriented,25,10,5,0.3684210526315789,18.74144736842104,29.736842105263158
payoff_oriented,25,10,6,0.42105263157894735,19.041631578947353,30.842105263157897
payoff_oriented,25,10,7,0.5138888888888888,22.434444444444427,34.22222222222222
payoff_oriented,25,10,8,0.4027777777777778,20.63494444444443,30.38888888888889
payoff_oriented,25,10,9,0.5277777777777778,21.846472222222204,33.916666666666664
payoff_oriented,25,10,10,0.3055555555555556,23.24269444444454,26.72222222222222
payoff_oriented,25,12.5,1,0.3611111111111111,24.03738888888887,27.805555555555557
payoff_oriented,25,12.5,2,0.25,22.627611111111094,23.13888888888889
payoff_oriented,25,12.5,3,0.3055555555555555,20.009694444444428,27.333333333333336
payoff_oriented,25,12.5,4,0.375,20.90266666666665,30.61111111111111
payoff_oriented,25,12.5,5,0.3888888888888889,22.72419444444443,27.72222222222222
payoff_oriented,25,12.5,6,0.45588235294117646,30.114264705882952,34.911764705882355
payoff_oriented,25,12.5,7,0.40277777777777785,25.552222222222255,29.444444444444443
payoff_oriented,25,12.5,8,0.2777777777777778,25.296361111111104,24.944444444444443
payoff_oriented,25,12.5,9,0.23611111111111108,21.95491666666665,24.11111111111111
payoff_oriented,25,12.5,10,0.40277777777777785,22.08369444444443,32.527777777777786
payoff_oriented,25,15,1,0.4583333333333333,23.017333333333315,30.916666666666664
payoff_oriented,25,15,2,0.47058823529411764,26.588823529411744,27.147058823529413
payoff_oriented,25,15,3,0.375,22.464944444444427,31.333333333333336
payoff_oriented,25,15,4,0.25,26.879470588235375,23.911764705882355
payoff_oriented,25,15,5,0.22058823529411764,26.91355882352947,22.823529411764707
payoff_oriented,25,15,6,0.2941176470588235,27.53791176470601,27.470588235294116
payoff_oriented,25,15,7,0.3472222222222222,26.6197222222222,27.833333333333336
payoff_oriented,25,15,8,0.45833333333333337,23.041055555555538,30.80555555555556
payoff_oriented,25,15,9,0.3888888888888889,25.55052777777776,29.97222222222222
payoff_oriented,25,15,10,0.3472222222222222,26.00463888888887,25.944444444444443
