Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,thres_schema,thres_item_final,rep
1,6,11,1,9,6.465999999999995,17,37,71,63,61,70,14.395999999999988,6.8319999999999945,7.258999999999994,11.650999999999991,20,12,18,15,64,33,31,50,4,1,48,4,6,Lc,0.22493749999999998,0.207030303030303,0.23416129032258062,0.23301999999999998,bonus_oriented,40,40,3
1,6,12,1,5,5.062999999999996,12,24,42,47,46,58,13.358999999999991,13.41999999999999,2.0129999999999986,13.29799999999999,20,16,8,16,55,54,13,53,5,0.5,34,4.75,6,Lc,0.24289090909090907,0.2485185185185185,0.15484615384615386,0.25090566037735845,bonus_oriented,40,40,3
1,7,13,1,3,6.404999999999995,11,28,91,5,94,120,50.93499999999996,5.855999999999995,14.029999999999989,7.258999999999994,20,15,18,17,224,22,53,31,5,0,14,3.5,6,Lc,0.22738839285714282,0.26618181818181813,0.2647169811320754,0.23416129032258062,bonus_oriented,40,40,3
1,7,14,1,1,7.685999999999994,14,30,101,105,102,13,58.68199999999995,4.7579999999999965,19.702999999999985,18.726999999999986,20,15,18,17,269,23,88,81,3,0.5,18,3,6,Lc,0.21814869888475835,0.2068695652173913,0.22389772727272725,0.2311975308641975,bonus_oriented,40,40,3
1,8,15,1,1,1.646999999999999,4,7,14,82,39,40,117.73000000000597,0.366,0.488,0.061,20,2,2,1,458,2,3,1,3,0,19,4.75,6,Lc,0.2570524017467249,0.183,0.16266666666666665,0.061,bonus_oriented,40,40,3
1,8,16,1,6,5.916999999999995,16,37,10,94,97,33,28.059999999999977,12.26099999999999,7.624999999999994,1.0979999999999994,20,18,16,3,126,49,36,3,6,0,16,4,6,Lc,0.22269841269841267,0.2502244897959183,0.21180555555555555,0.366,bonus_oriented,40,40,3
1,9,17,1,7,7.502999999999994,16,36,17,13,18,24,22.447999999999983,13.785999999999989,0.8539999999999996,8.905999999999993,20,18,3,16,101,62,3,38,6,1,72,6,6,Lc,0.22225742574257423,0.2223548387096774,0.2846666666666667,0.23436842105263153,bonus_oriented,40,40,3
1,9,18,1,2,9.515999999999993,14,48,52,54,51,36,15.12799999999999,1.0369999999999995,17.872999999999987,9.454999999999993,20,3,18,16,69,3,74,29,4,0.5,29,4.25,6,Lc,0.2192463768115942,0.3456666666666666,0.241527027027027,0.3260344827586206,bonus_oriented,40,40,3
1,10,19,1,1,9.393999999999993,18,43,77,82,78,13,13.05399999999999,17.079999999999988,1.7689999999999988,71.24800000000079,20,19,4,17,55,84,5,311,3,0.5,24,3.75,6,Lc,0.23734545454545453,0.20333333333333334,0.3537999999999999,0.2290932475884244,bonus_oriented,40,40,3
1,10,20,1,9,6.8319999999999945,16,34,66,87,102,85,9.149999999999993,25.37599999999998,5.306999999999996,4.086999999999997,20,19,13,14,48,92,24,24,4,0,12,3,6,Lc,0.190625,0.2758260869565217,0.221125,0.17029166666666667,bonus_oriented,40,40,3
