Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,14,28,1,9,1.8909999999999987,4,5,72,68,23,17,8.234999999999994,0.305,0.5489999999999999,2.1959999999999984,20,1,3,8,38,1,3,10,4,0,20,5,6,Lc,0.21671052631578946,0.305,0.183,0.21959999999999993,0.5,20,15,10,3,1
1,15,29,1,2,3.1109999999999975,12,18,53,115,12,60,13.23699999999999,9.088999999999993,6.953999999999994,0.061,20,15,17,1,68,38,28,1,4,0,16,4,6,Lc,0.19466176470588234,0.23918421052631578,0.24835714285714283,0.061,0.5,20,15,10,3,1
1,15,30,1,3,1.646999999999999,6,8,27,34,30,32,4.513999999999997,8.112999999999994,0.427,5.184999999999996,19,19,3,12,22,41,3,21,5,1,60,5,6,Lc,0.2051818181818182,0.1978780487804878,0.14233333333333334,0.24690476190476188,0.5,20,15,10,3,1
1,16,31,1,2,5.245999999999996,14,21,51,32,28,117,14.39599999999999,1.7689999999999988,18.055999999999987,0.061,20,3,18,1,60,4,76,1,4,0,16,4,6,Lc,0.2399333333333333,0.4422499999999999,0.23757894736842103,0.061,0.5,20,15,10,3,1
1,16,32,1,10,2.3789999999999982,7,11,89,88,87,3,7.502999999999995,1.1589999999999994,4.574999999999997,6.160999999999995,20,5,15,16,36,5,24,35,3,0.5,24,3.75,6,Lc,0.20841666666666667,0.2318,0.190625,0.17602857142857142,0.5,20,15,10,3,1
1,17,33,1,7,1.2809999999999993,5,6,24,36,85,33,6.099999999999996,5.7949999999999955,1.0369999999999995,1.463999999999999,16,15,2,4,20,25,4,5,6,0,19,4.75,6,Lc,0.30499999999999994,0.23179999999999998,0.25925,0.2928,0.5,20,15,10,3,1
1,17,34,1,8,3.0499999999999976,11,16,110,82,113,37,11.89499999999999,5.489999999999996,2.9889999999999977,5.184999999999996,20,9,11,13,58,14,14,21,2,0,12,3,6,Lc,0.20508620689655171,0.392142857142857,0.2135,0.24690476190476188,0.5,20,15,10,3,1
1,1,1,0,10,5.428999999999996,14,26,98,57,87,88,15.676999999999989,2.500999999999998,4.269999999999997,0.488,20,9,12,3,66,10,19,3,3,0,12,3,6,Lc,0.237530303030303,0.2501,0.22473684210526315,0.16266666666666665,0.5,20,15,10,3,2
1,1,2,0,3,1.524999999999999,6,6,26,5,34,73,8.051999999999994,5.062999999999996,7.319999999999994,4.147999999999997,20,16,18,14,34,27,34,19,5,0,19,4.75,6,Lc,0.23682352941176468,0.1875185185185185,0.2152941176470588,0.2183157894736842,0.5,20,15,10,3,2
1,2,3,0,3,2.1959999999999984,6,8,23,99,26,21,11.89499999999999,5.7339999999999955,0.488,4.208999999999997,20,15,3,12,46,25,3,20,5,0,19,4.75,6,Lc,0.25858695652173913,0.22935999999999998,0.16266666666666665,0.21044999999999997,0.5,20,15,10,3,2
1,2,4,0,5,1.3419999999999992,5,6,38,89,42,11,11.589999999999991,2.9279999999999977,2.561999999999998,0.8539999999999996,20,7,9,3,51,9,14,3,5,0,19,4.75,6,Lc,0.2272549019607843,0.32533333333333325,0.183,0.2846666666666666,0.5,20,15,10,3,2
1,3,5,0,4,3.842999999999997,10,15,107,26,102,22,11.040999999999991,1.585999999999999,1.463999999999999,0.9759999999999995,20,5,7,3,44,6,9,3,2,0,15,3.75,6,Lc,0.25093181818181814,0.26433333333333325,0.16266666666666665,0.3253333333333333,0.5,20,15,10,3,2
1,3,6,0,8,1.3419999999999992,5,6,7,117,112,110,9.759999999999993,1.1589999999999994,4.879999999999996,4.025999999999997,20,5,14,14,45,6,23,23,2,0.5,18,3,6,Lc,0.21688888888888888,0.19316666666666665,0.21217391304347824,0.17504347826086955,0.5,20,15,10,3,2
1,4,7,0,5,1.2809999999999993,3,3,88,48,1,46,9.759999999999993,0.366,2.0739999999999985,1.7689999999999988,20,1,7,6,40,1,8,7,5,0,19,4.75,6,Lc,0.24399999999999997,0.366,0.25925,0.2527142857142857,0.5,20,15,10,3,2
1,4,8,0,7,3.781999999999997,11,19,15,31,36,54,15.371999999999987,3.659999999999997,0.244,1.7079999999999989,20,9,2,4,70,11,2,4,6,0,20,5,6,Lc,0.2196,0.3327272727272727,0.122,0.4269999999999999,0.5,20,15,10,3,2
1,5,9,0,8,3.659999999999997,10,14,18,117,17,28,13.05399999999999,0.5489999999999999,2.1349999999999985,3.4159999999999973,20,3,7,12,58,3,8,18,2,0,19,4.75,6,Lc,0.22506896551724137,0.183,0.266875,0.18977777777777777,0.5,20,15,10,3,2
1,5,10,0,1,1.585999999999999,6,7,78,107,103,81,8.051999999999994,4.269999999999997,3.537999999999997,1.1589999999999994,19,12,10,4,31,17,13,5,3,0,10,2.5,6,Lc,0.2597419354838709,0.2511764705882353,0.27215384615384614,0.2318,0.5,20,15,10,3,2
1,6,11,1,7,1.463999999999999,7,8,23,18,31,14,8.600999999999994,2.500999999999998,3.3549999999999973,8.722999999999994,20,7,9,15,36,8,14,43,6,0.5,41,5.75,6,Lc,0.23891666666666664,0.312625,0.2396428571428571,0.20286046511627906,0.5,20,15,10,3,2
1,6,12,1,5,3.720999999999997,11,23,58,11,1,37,12.87099999999999,0.061,2.2569999999999983,0.183,20,1,6,1,62,1,7,1,5,0,21,5.25,6,Lc,0.20759677419354838,0.061,0.32242857142857134,0.183,0.5,20,15,10,3,2
1,7,13,1,3,0.427,2,2,27,35,92,98,8.661999999999994,2.2569999999999983,5.123999999999996,1.8299999999999987,20,8,14,5,34,11,21,5,5,0,15,3.75,6,Lc,0.2547647058823529,0.2051818181818182,0.244,0.36599999999999994,0.5,20,15,10,3,2
