Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,9,17,1,10,8.722999999999994,16,73,92,90,94,91,9.820999999999993,4.818999999999996,1.9519999999999986,5.367999999999996,20,15,10,16,82,37,18,38,3,1,36,3,6,Lc,0.11976829268292682,0.13024324324324324,0.10844444444444444,0.14126315789473684,0.5,20,15,30,1,2
1,9,18,1,4,5.855999999999995,18,54,107,108,99,101,18.238999999999987,1.463999999999999,1.0979999999999994,1.9519999999999986,20,9,9,13,151,11,10,20,2,1,24,2,6,Lc,0.12078807947019866,0.1330909090909091,0.1098,0.09759999999999999,0.5,20,15,30,1,2
1,10,19,1,6,3.598999999999997,12,32,2,5,6,9,10.369999999999992,0.061,1.0369999999999995,10.125999999999992,20,1,9,17,101,1,9,82,6,1,72,6,6,Lc,0.10267326732673268,0.061,0.11522222222222223,0.12348780487804878,0.5,20,15,30,1,2
1,10,20,1,1,10.735999999999992,18,96,73,31,84,30,14.94499999999999,6.8319999999999945,0.366,0.488,20,18,4,2,129,55,4,2,3,0,16,4,6,Lc,0.11585271317829457,0.12421818181818181,0.0915,0.244,0.5,20,15,30,1,2
1,11,21,1,9,7.014999999999994,18,64,72,65,62,19,9.637999999999993,9.637999999999993,3.598999999999997,2.9279999999999977,20,18,12,13,89,81,30,18,4,0.5,30,4.5,6,Lc,0.10829213483146068,0.11898765432098767,0.11996666666666667,0.16266666666666665,0.5,20,15,30,1,2
1,11,22,1,6,5.489999999999996,16,48,9,6,3,84,7.075999999999995,7.502999999999994,4.269999999999997,2.744999999999998,20,18,16,12,61,70,35,25,6,0.5,39,5.25,6,Lc,0.11599999999999999,0.10718571428571429,0.122,0.1098,0.5,20,15,30,1,2
1,12,23,1,2,15.066999999999988,17,130,57,59,53,50,19.702999999999985,5.062999999999996,0.122,1.8299999999999987,20,16,2,12,166,36,2,20,4,1,48,4,6,Lc,0.11869277108433735,0.1406388888888889,0.061,0.0915,0.5,20,15,30,1,2
1,12,24,1,5,5.428999999999996,18,49,48,40,43,47,6.282999999999996,7.9299999999999935,1.646999999999999,1.3419999999999992,20,19,11,12,58,66,17,14,5,1,60,5,6,Lc,0.10832758620689655,0.12015151515151515,0.096882352941176475,0.09585714285714285,0.5,20,15,30,1,2
1,13,25,1,3,2.805999999999998,11,22,31,30,29,32,4.6969999999999965,0.7319999999999998,2.3789999999999982,10.125999999999992,20,8,13,17,38,9,17,88,5,1,60,5,6,Lc,0.12360526315789473,0.08133333333333333,0.13994117647058824,0.11506818181818182,0.5,20,15,30,1,2
1,13,26,1,10,8.356999999999994,17,72,86,93,95,91,9.637999999999993,0.244,1.2809999999999993,8.173999999999994,20,2,9,16,80,2,12,74,3,1,36,3,6,Lc,0.12047499999999998,0.122,0.10675,0.11045945945945945,0.5,20,15,30,1,2
