model,strategy,combo_id,thres_schema,thres_item_final,risk,AC_mean,AC_se,perf_mean,perf_se,RT_mean,RT_se,n_runs
adapted,payoff_oriented,13,15,12.5,Hc,0.22076023391812866,0.018134614606568834,18.75175438596491,0.5723687758134126,19.51313304093574,0.718160407572995,10
adapted,payoff_oriented,14,20,12.5,Lc,0.3163742690058479,0.029284768812092733,27.090350877192982,1.0881212009114791,19.994390935672545,0.851317035779271,10
adapted,payoff_oriented,14,20,12.5,Hc,0.29817251461988303,0.029253864778365456,20.37953216374269,1.015910793793398,20.78231652046784,0.7600019628685265,10
adapted,payoff_oriented,15,25,12.5,Lc,0.35130718954248363,0.021270091807562966,28.961111111111112,0.8537438730808233,23.826550163398714,0.5815105071210062,10
adapted,payoff_oriented,15,25,12.5,Hc,0.3512254901960784,0.029934248573542425,22.76437908496732,0.8331529629510442,24.224864215686303,0.7300536426196524,10
adapted,payoff_oriented,16,15,15,Lc,0.2573830409356725,0.03642138780595728,24.217543859649123,1.2107290937693678,19.94067704678367,0.6019061074924685,10
adapted,payoff_oriented,16,15,15,Hc,0.2843846749226006,0.03921246065032378,20.73418257653939,1.100316095818577,37.71028045988202,13.514893154151155,10
adapted,payoff_oriented,17,20,15,Lc,0.33422073873409014,0.021678825299239573,27.294582043343652,0.9224038723142939,23.714308825679513,1.480403171516925,10
adapted,payoff_oriented,17,20,15,Hc,0.3422574819401445,0.04259997712069156,21.97500343997248,1.2725063187015184,26.080955407637216,2.5690397180787117,10
adapted,payoff_oriented,18,25,15,Lc,0.3669117647058823,0.021839006019456705,28.682679738562094,1.1080587265030775,24.318158333333365,0.6599665731113628,10
adapted,payoff_oriented,18,25,15,Hc,0.3712418300653595,0.01936280255178407,23.43839869281046,0.9827358228097524,26.17365473856213,0.7389384596679517,10
