Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,combo_id,thres_schema,thres_item_final,model,risk,run,attempt
1,13,25,1,4,12.87099999999999,19,71,105,74,80,104,33.915999999999976,0.488,1.8909999999999987,1.7079999999999989,20,2,11,10,151,2,12,10,2,0,10,2.5,5,Lc,0.22460927152317878,0.244,0.15758333333333333,0.1708,bonus_oriented,1,50,45,original,Lc,2,1
1,13,26,1,3,3.4159999999999973,9,16,35,4,91,50,27.876999999999978,178.7910000000132,0.061,0.244,20,19,1,2,112,756,1,2,5,0,18,4.5,5,Lc,0.2489017857142857,0.23649603174603173,0.061,0.122,bonus_oriented,1,50,45,original,Lc,2,1
1,14,27,1,3,5.611999999999996,15,29,15,70,107,28,76.9820000000008,0.061,0.061,0.305,20,1,1,1,312,1,1,1,5,0,17,4.25,5,Lc,0.24673717948717946,0.061,0.061,0.305,bonus_oriented,1,50,45,original,Lc,2,1
1,14,28,1,6,4.208999999999997,12,21,2,82,76,12,31.414999999999974,0.061,0.9149999999999996,0.061,20,1,3,1,120,1,3,1,6,0,18,4.5,5,Lc,0.26179166666666664,0.061,0.3049999999999999,0.061,bonus_oriented,1,50,45,original,Lc,2,1
1,1,1,0,1,10.308999999999992,16,50,79,78,101,73,21.715999999999983,15.981999999999987,5.184999999999996,1.8299999999999987,20,19,13,6,95,74,21,7,3,0.5,20,2.75,5,Lc,0.2285894736842105,0.21597297297297294,0.24690476190476188,0.2614285714285714,bonus_oriented,1,50,45,original,Lc,3,1
1,1,2,0,2,7.258999999999994,15,29,14,29,60,31,60.87799999999995,1.1589999999999994,0.122,0.305,20,2,2,2,267,3,2,2,4,0,20,5,5,Lc,0.22800749063670409,0.38633333333333314,0.061,0.1525,bonus_oriented,1,50,45,original,Lc,3,1
1,2,3,0,3,9.393999999999993,18,49,30,33,36,99,37.57599999999997,1.463999999999999,6.770999999999995,4.879999999999996,20,5,13,11,169,5,19,20,5,0.5,32,4.25,5,Lc,0.22234319526627216,0.2928,0.3563684210526315,0.24399999999999997,bonus_oriented,1,50,45,original,Lc,3,1
1,2,4,0,5,11.406999999999991,15,50,39,13,49,50,15.981999999999989,58.98699999999995,0.7319999999999998,0.7319999999999998,20,19,5,3,69,254,5,3,5,0,19,4.75,5,Lc,0.23162318840579707,0.2322322834645669,0.1464,0.244,bonus_oriented,1,50,45,original,Lc,3,1
1,3,5,0,5,3.1719999999999975,11,17,2,113,120,44,116.75400000000568,0.122,0.061,0.061,20,2,1,1,494,2,1,1,5,0,15,3.75,5,Lc,0.23634412955465584,0.061,0.061,0.061,bonus_oriented,1,50,45,original,Lc,3,1
1,3,6,0,10,8.478999999999994,17,42,98,14,28,93,77.59200000000054,3.903999999999997,0.061,0.061,20,14,1,1,310,15,1,1,3,0,16,4,5,Lc,0.25029677419354834,0.26026666666666665,0.061,0.061,bonus_oriented,1,50,45,original,Lc,3,1
1,4,7,0,3,10.796999999999992,15,51,34,31,25,18,32.939999999999976,6.038999999999995,2.9279999999999977,3.2939999999999974,20,14,10,14,155,27,14,23,5,0.5,36,5.25,5,Lc,0.21251612903225806,0.22366666666666665,0.2091428571428571,0.14321739130434782,bonus_oriented,1,50,45,original,Lc,3,1
1,4,8,0,5,9.942999999999993,17,54,41,98,106,101,27.38899999999998,7.441999999999994,20.983999999999984,2.9279999999999977,20,16,18,11,120,32,78,11,5,0.5,17,2.75,5,Lc,0.22824166666666662,0.23256249999999998,0.26902564102564097,0.2661818181818182,bonus_oriented,1,50,45,original,Lc,3,1
1,5,9,1,5,10.003999999999992,12,44,47,37,54,80,21.105999999999984,8.722999999999994,6.953999999999994,15.554999999999987,20,16,12,16,93,41,25,67,5,0,17,4.25,5,Lc,0.22694623655913979,0.2127560975609756,0.27815999999999996,0.2321641791044776,bonus_oriented,1,50,45,original,Lc,3,1
1,5,10,1,9,8.844999999999994,15,39,69,65,17,27,16.16499999999999,13.23699999999999,5.672999999999996,4.7579999999999965,20,19,16,12,74,63,22,18,4,0,19,4.75,5,Lc,0.21844594594594594,0.21011111111111108,0.25786363636363635,0.2643333333333333,bonus_oriented,1,50,45,original,Lc,3,1
1,6,11,1,5,16.774999999999988,16,79,47,46,41,53,26.717999999999982,8.112999999999994,1.524999999999999,6.770999999999995,20,13,7,10,117,29,9,19,5,0.5,34,4.75,5,Lc,0.22835897435897434,0.2797586206896551,0.16944444444444443,0.3563684210526315,bonus_oriented,1,50,45,original,Lc,3,1
