model,agent,risk,run,AC,performance,RT
original,bonus,Lc,6,0.33928571428571425,26.321428571428573,56.281214285714334
original,bonus,Lc,7,0.3076923076923077,26.846153846153847,62.37484615384649
original,bonus,Lc,8,0.625,43.607142857142854,51.7737500000001
original,bonus,Lc,9,0.41666666666666663,31.583333333333332,75.35533333333507
original,bonus,Lc,10,0.30357142857142855,26.821428571428573,62.43132142857209
original,bonus,Lc,11,0.5333333333333333,39.46666666666667,51.61210000000013
original,bonus,Lc,12,0.3,25.033333333333335,51.3437000000001
original,bonus,Lc,13,0.48214285714285715,30,59.14167857142876
original,bonus,Lc,14,0.44642857142857145,31.071428571428573,53.379357142857216
original,bonus,Lc,15,0.44642857142857145,33.285714285714285,54.804142857143205
original,bonus,Lc,16,0.2857142857142857,25.928571428571427,57.5121071428571
original,bonus,Lc,17,0.42857142857142855,34.67857142857143,54.300892857143495
original,bonus,Lc,18,0.36666666666666664,27.266666666666666,50.39616666666664
original,bonus,Lc,19,0.33333333333333337,28.466666666666665,47.37259999999996
original,bonus,Lc,20,0.44642857142857145,31.535714285714285,51.682250000000046
original,payoff,Hc,1,0.5416666666666667,28.25,22.014222222222404
original,payoff,Hc,2,0.375,23.5,20.846749999999986
original,payoff,Hc,3,0.38888888888888895,25.86111111111111,23.574805555555542
original,payoff,Hc,4,0.4305555555555556,25,20.773888888888873
original,payoff,Hc,5,0.38888888888888895,23.583333333333336,21.73124999999998
original,payoff,Hc,6,0.375,24.11111111111111,22.85466666666665
original,payoff,Hc,7,0.3194444444444444,21.97222222222222,20.25708333333332
original,payoff,Hc,8,0.5921052631578947,29.657894736842103,18.67723684210525
original,payoff,Hc,9,0.4342105263157895,22.789473684210527,18.50065789473683
original,payoff,Hc,10,0.5277777777777778,28.083333333333336,25.376000000000012
original,payoff,Hc,11,0.2916666666666667,18.666666666666668,21.197499999999984
original,payoff,Hc,12,0.5,25.5,20.516333333333318
original,payoff,Hc,13,0.5,30.222222222222218,24.340694444444843
original,payoff,Hc,14,0.38888888888888895,24.5,24.130583333333373
original,payoff,Hc,15,0.33333333333333337,18.75,20.487527777777764
original,payoff,Hc,16,0.4166666666666667,24.194444444444443,22.26161111111126
original,payoff,Hc,17,0.2631578947368421,19.63157894736842,19.261552631578933
original,payoff,Hc,18,0.48611111111111105,27.72222222222222,23.686638888888872
original,payoff,Hc,19,0.3235294117647059,22.588235294117645,27.044529411765225
original,payoff,Hc,20,0.4722222222222222,22.083333333333336,28.144722222222665
original,payoff,Lc,1,0.4305555555555556,30.805555555555557,22.30227777777776
original,payoff,Lc,2,0.38888888888888895,27.916666666666664,20.26894444444443
original,payoff,Lc,3,0.38888888888888895,28.63888888888889,20.900972222222208
original,payoff,Lc,4,0.3888888888888889,30.27777777777778,24.567749999999982
original,payoff,Lc,5,0.3055555555555556,27.555555555555557,20.98908333333332
original,payoff,Lc,6,0.5138888888888888,33.611111111111114,20.133388888888874
original,payoff,Lc,7,0.41666666666666663,32.55555555555556,25.194694444444426
original,payoff,Lc,8,0.375,28.166666666666668,23.12916666666665
original,payoff,Lc,9,0.4027777777777778,31.25,22.068444444444427
original,payoff,Lc,10,0.3055555555555556,27.13888888888889,22.807222222222205
original,payoff,Lc,11,0.4305555555555556,28.5,23.586666666666837
original,payoff,Lc,12,0.3194444444444444,25.694444444444443,21.370333333333317
original,payoff,Lc,13,0.3055555555555556,24.805555555555557,20.731527777777764
original,payoff,Lc,14,0.5138888888888888,33.111111111111114,22.647944444444427
original,payoff,Lc,15,0.47058823529411764,31.176470588235293,35.681411764704684
original,payoff,Lc,16,0.3888888888888889,28.083333333333336,25.71319444444465
original,payoff,Lc,17,0.3552631578947369,28.973684210526315,19.836236842105247
original,payoff,Lc,18,0.375,28.27777777777778,24.832083333333316
original,payoff,Lc,19,0.4305555555555556,29.72222222222222,20.795916666666752
original,payoff,Lc,20,0.4078947368421052,26.289473684210527,19.20697368421051
