Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,agent,model,risk,run
1,11,22,1,8,7.807999999999994,17,35,112,118,109,85,10.369999999999992,2.3179999999999983,6.8319999999999945,2.1959999999999984,20,7,15,7,46,7,35,8,2,0.5,15,2.25,6,Lc,0.22543478260869562,0.33114285714285707,0.19519999999999998,0.27449999999999997,baseline,original,Lc,1
1,12,23,1,8,8.722999999999994,16,43,117,114,65,96,11.83399999999999,4.452999999999997,2.9889999999999977,1.7689999999999988,20,11,9,5,56,19,12,9,2,0,11,2.75,6,Lc,0.21132142857142855,0.23436842105263156,0.24908333333333332,0.19655555555555554,baseline,original,Lc,1
1,12,24,1,7,4.025999999999997,12,24,14,17,15,16,4.391999999999997,1.0979999999999994,10.247999999999992,1.9519999999999986,15,7,16,8,27,8,47,10,6,1,72,6,6,Lc,0.16266666666666665,0.13724999999999998,0.21804255319148935,0.19519999999999996,baseline,original,Lc,1
1,13,25,1,4,12.32199999999999,20,69,108,97,43,41,14.090999999999989,0.366,24.58299999999998,11.040999999999991,20,1,18,16,75,1,99,41,2,0,14,3.5,6,Lc,0.18788,0.366,0.2483131313131313,0.26929268292682923,baseline,original,Lc,1
1,13,26,1,7,8.112999999999994,14,37,22,21,17,64,11.284999999999991,0.7319999999999998,9.393999999999993,0.488,20,3,15,3,45,3,39,3,6,0.5,40,5.5,6,Lc,0.25077777777777777,0.244,0.24087179487179483,0.16266666666666665,baseline,original,Lc,1
1,14,27,1,6,11.040999999999991,18,52,12,4,5,90,12.87099999999999,5.7339999999999955,2.561999999999998,4.635999999999997,20,13,6,14,59,23,7,20,6,0.5,39,5.25,6,Lc,0.21815254237288134,0.24930434782608693,0.36599999999999994,0.23179999999999998,baseline,original,Lc,1
1,14,28,1,7,8.295999999999994,15,52,24,69,18,104,12.443999999999992,0.061,0.6709999999999998,9.637999999999993,20,1,4,16,68,1,4,45,6,0,18,4.5,6,Lc,0.183,0.061,0.16775,0.21417777777777777,baseline,original,Lc,1
1,15,29,1,2,4.940999999999996,12,19,4,74,78,54,88.4500000000022,0.183,0.244,0.122,20,1,2,2,362,1,3,2,4,0,16,4,6,Lc,0.24433701657458562,0.183,0.08133333333333333,0.061,baseline,original,Lc,1
1,15,30,1,3,9.515999999999993,17,47,28,32,35,34,11.650999999999991,0.5489999999999999,1.524999999999999,0.244,20,3,5,1,56,3,7,1,5,1,60,5,6,Lc,0.20805357142857142,0.183,0.21785714285714286,0.244,baseline,original,Lc,1
1,16,31,1,7,5.855999999999995,10,22,13,18,17,99,11.101999999999991,0.183,25.92499999999998,0.122,20,2,18,2,48,2,112,2,6,0.5,38,5,6,Lc,0.23129166666666665,0.0915,0.23147321428571427,0.061,baseline,original,Lc,1
