model,strategy,combo_id,thres_schema,thres_item_final,risk,run,AC,performance,RT
adapted,payoff_oriented,2,25,10,Hc,32,0.20833333333333331,17.11111111111111,23.078333333333333
adapted,payoff_oriented,2,25,10,Hc,33,0.2222222222222222,18.194444444444443,20.960277777777762
adapted,payoff_oriented,2,25,10,Hc,34,0.4305555555555556,23.694444444444443,22.72080555555554
adapted,payoff_oriented,2,25,10,Hc,35,0.4027777777777778,22.944444444444443,20.94502777777776
adapted,payoff_oriented,2,25,10,Hc,36,0.33333333333333337,19.416666666666668,22.27855555555554
adapted,payoff_oriented,2,25,10,Hc,37,0.2647058823529412,19.911764705882355,32.37305882353007
adapted,payoff_oriented,2,25,10,Hc,38,0.5394736842105263,27.710526315789473,19.340210526315776
adapted,payoff_oriented,2,25,10,Hc,39,0.5833333333333333,34.361111111111114,22.82416666666665
adapted,payoff_oriented,2,25,10,Hc,40,0.4722222222222222,28.944444444444443,30.96766666666635
adapted,payoff_oriented,2,25,10,Hc,41,0.23529411764705882,20.61764705882353,29.798500000000143
adapted,payoff_oriented,2,25,10,Hc,42,0.4722222222222222,23.75,21.294083333333326
adapted,payoff_oriented,2,25,10,Hc,43,0.2222222222222222,20,22.72419444444443
adapted,payoff_oriented,2,25,10,Hc,44,0.41666666666666663,21.666666666666664,24.133972222222255
adapted,payoff_oriented,2,25,10,Hc,45,0.3888888888888889,18.11111111111111,21.00602777777776
adapted,payoff_oriented,2,25,10,Hc,46,0.4444444444444444,23.055555555555557,23.102055555555538
adapted,payoff_oriented,2,25,10,Hc,47,0.4861111111111111,27.583333333333336,20.645111111111095
adapted,payoff_oriented,2,25,10,Hc,48,0.421875,23.875,37.21953125000103
adapted,payoff_oriented,2,25,10,Hc,49,0.375,23.77777777777778,22.658111111111094
adapted,payoff_oriented,2,25,10,Hc,50,0.3055555555555556,23.638888888888893,21.780388888888886
adapted,payoff_oriented,2,25,10,Lc,1,0.44444444444444436,31.77777777777778,20.12830555555554
adapted,payoff_oriented,2,25,10,Lc,2,0.2638888888888889,27.333333333333336,23.283361111111095
adapted,payoff_oriented,2,25,10,Lc,3,0.5394736842105263,36.05263157894737,19.120289473684196
adapted,payoff_oriented,2,25,10,Lc,4,0.29166666666666663,27,23.20880555555554
adapted,payoff_oriented,2,25,10,Lc,5,0.5,34.22222222222222,24.110249999999983
adapted,payoff_oriented,2,25,10,Lc,6,0.3611111111111111,26.75,25.757250000000106
adapted,payoff_oriented,2,25,10,Lc,7,0.3611111111111111,29.5,23.83913888888887
adapted,payoff_oriented,2,25,10,Lc,8,0.375,31.22222222222222,24.159388888889097
adapted,payoff_oriented,2,25,10,Lc,9,0.34722222222222215,27.5,21.937972222222207
adapted,payoff_oriented,2,25,10,Lc,10,0.5416666666666667,34.638888888888886,20.40280555555554
adapted,payoff_oriented,2,25,10,Lc,11,0.338235294117647,30.676470588235297,32.41073529411796
adapted,payoff_oriented,2,25,10,Lc,12,0.25,24.63888888888889,21.765138888888874
adapted,payoff_oriented,2,25,10,Lc,13,0.3472222222222222,28.52777777777778,22.935999999999986
adapted,payoff_oriented,2,25,10,Lc,14,0.5416666666666666,35.5,24.918500000000048
adapted,payoff_oriented,2,25,10,Lc,15,0.40277777777777785,32.55555555555556,23.010555555555587
adapted,payoff_oriented,2,25,10,Lc,16,0.3947368421052631,30.368421052631582,19.353052631578933
adapted,payoff_oriented,2,25,10,Lc,17,0.3194444444444444,30.083333333333336,21.531305555555537
adapted,payoff_oriented,2,25,10,Lc,18,0.33333333333333337,30.305555555555557,21.304249999999982
adapted,payoff_oriented,2,25,10,Lc,19,0.41666666666666663,30.38888888888889,21.907472222222204
adapted,payoff_oriented,2,25,10,Lc,20,0.36764705882352944,29.88235294117647,30.634558823530035
adapted,payoff_oriented,2,25,10,Lc,21,0.2638888888888889,24.22222222222222,22.773333333333316
adapted,payoff_oriented,2,25,10,Lc,22,0.4722222222222222,32.083333333333336,21.653305555555537
adapted,payoff_oriented,2,25,10,Lc,23,0.5,37.861111111111114,21.03313888888887
adapted,payoff_oriented,2,25,10,Lc,24,0.368421052631579,30.815789473684212,19.598657894736828
adapted,payoff_oriented,2,25,10,Lc,25,0.3194444444444444,26.11111111111111,22.744527777777762
adapted,payoff_oriented,2,25,10,Lc,26,0.4305555555555556,28.333333333333336,21.499111111111095
adapted,payoff_oriented,2,25,10,Lc,27,0.3194444444444444,28.833333333333336,22.905499999999982
adapted,payoff_oriented,2,25,10,Lc,28,0.4305555555555556,31,24.90155555555557
adapted,payoff_oriented,2,25,10,Lc,29,0.3684210526315789,28.263157894736842,19.507157894736828
adapted,payoff_oriented,2,25,10,Lc,30,0.2638888888888889,25.944444444444443,21.58213888888887
adapted,payoff_oriented,2,25,10,Lc,31,0.4166666666666667,32.02777777777778,20.163888888888874
adapted,payoff_oriented,2,25,10,Lc,32,0.41666666666666663,32.833333333333336,22.35988888888887
adapted,payoff_oriented,2,25,10,Lc,33,0.4027777777777778,29.02777777777778,21.89730555555554
adapted,payoff_oriented,2,25,10,Lc,34,0.23529411764705882,24.5,32.03576470588219
adapted,payoff_oriented,2,25,10,Lc,35,0.41666666666666663,30.083333333333336,20.914527777777764
adapted,payoff_oriented,2,25,10,Lc,36,0.42105263157894735,29.57894736842105,19.995157894736828
adapted,payoff_oriented,2,25,10,Lc,37,0.48529411764705876,35.8235294117647,28.23941176470611
adapted,payoff_oriented,2,25,10,Lc,38,0.4444444444444444,30.11111111111111,22.31752777777776
adapted,payoff_oriented,2,25,10,Lc,39,0.3888888888888889,31.916666666666664,21.978638888888874
adapted,payoff_oriented,2,25,10,Lc,40,0.3611111111111111,28.666666666666668,21.21444444444443
adapted,payoff_oriented,2,25,10,Lc,41,0.3888888888888889,32.80555555555556,21.580444444444428
adapted,payoff_oriented,2,25,10,Lc,42,0.5277777777777778,36.25,23.36977777777783
adapted,payoff_oriented,2,25,10,Lc,43,0.2894736842105263,23.44736842105263,19.568157894736828
adapted,payoff_oriented,2,25,10,Lc,44,0.45833333333333337,30.611111111111107,20.733222222222206
adapted,payoff_oriented,2,25,10,Lc,45,0.4264705882352941,31,29.353558823529617
adapted,payoff_oriented,2,25,10,Lc,46,0.46052631578947373,34.44736842105263,20.112342105263142
adapted,payoff_oriented,2,25,10,Lc,47,0.4444444444444444,31.194444444444443,25.642027777777837
adapted,payoff_oriented,2,25,10,Lc,48,0.5277777777777778,36,24.118722222222203
adapted,payoff_oriented,2,25,10,Lc,49,0.23684210526315788,22.815789473684212,19.139552631578933
adapted,payoff_oriented,2,25,10,Lc,50,0.2638888888888889,26.416666666666664,20.46041666666665
original,bonus_oriented,1,50,45,Hc,1,0.3571428571428571,24.357142857142858,56.13960714285747
original,bonus_oriented,1,50,45,Hc,2,0.4464285714285714,31.142857142857142,58.899857142857876
original,bonus_oriented,1,50,45,Hc,3,0.33928571428571425,25.321428571428573,60.0240000000006
